date,season,is_weekend,is_holiday,weather,temp_celsius,humidity_pct,scooty_demand,bike_demand,car_demand,total_demand,avg_revenue_inr
2025-01-01,PeakHoliday,0,1,Sunny,29.5,65,240,195,110,545,412000
2025-01-02,PeakHoliday,0,0,Sunny,29.2,64,225,182,102,509,384000
2025-01-03,PeakHoliday,0,0,Sunny,29.0,66,230,188,105,523,395000
2025-01-04,PeakHoliday,1,0,Sunny,29.8,63,280,235,135,650,496000
2025-01-05,PeakHoliday,1,0,Sunny,30.0,62,295,245,140,680,519000
2025-01-06,HighSeason,0,0,Sunny,29.1,65,190,152,85,427,321000
2025-01-07,HighSeason,0,0,Sunny,29.3,64,185,148,82,415,312000
2025-01-08,HighSeason,0,0,Sunny,29.0,65,188,150,84,422,317000
2025-01-09,HighSeason,0,0,Sunny,29.4,63,195,156,88,439,331000
2025-01-10,HighSeason,0,0,Sunny,29.7,62,210,170,95,475,359000
2025-01-11,HighSeason,1,0,Sunny,30.2,60,260,215,120,595,452000
2025-01-12,HighSeason,1,0,Sunny,30.5,59,270,225,128,623,474000
2025-06-15,Monsoon,1,0,HeavyRain,25.5,92,45,28,88,161,154000
2025-06-16,Monsoon,0,0,HeavyRain,25.0,95,32,18,65,115,112000
2025-06-17,Monsoon,0,0,Rain,25.2,93,38,22,70,130,126000
2025-10-20,Festival,0,1,Sunny,31.0,68,265,220,125,610,465000
2025-10-21,Festival,0,1,Sunny,31.2,67,280,235,130,645,492000
2025-12-24,PeakHoliday,0,1,Sunny,30.0,62,310,260,150,720,554000
2025-12-25,PeakHoliday,0,1,Sunny,30.5,60,330,280,165,775,602000
2025-12-31,PeakHoliday,0,1,Sunny,30.8,58,350,300,180,830,648000
