date,season,is_weekend,is_holiday,weather,temp_celsius,humidity_pct,scooty_demand,bike_demand,car_demand,total_demand,avg_revenue_inr
2025-01-01,Winter,0,1,Clear,18.5,55,142,98,45,285,185200
2025-01-02,Winter,0,0,Clear,19.0,52,110,82,30,222,142300
2025-01-03,Winter,0,0,Clear,19.2,50,118,88,32,238,151200
2025-01-04,Winter,1,0,Clear,20.1,48,165,134,58,357,238400
2025-01-05,Winter,1,0,Clear,20.4,46,178,142,62,382,254900
2025-01-06,Winter,0,0,PartlyCloudy,19.8,51,105,79,28,212,135400
2025-01-07,Winter,0,0,PartlyCloudy,18.9,53,108,81,29,218,139100
2025-01-08,Winter,0,0,Clear,19.5,49,112,85,31,228,145800
2025-01-09,Winter,0,0,Clear,20.0,47,119,90,33,242,154200
2025-01-10,Winter,0,0,Clear,20.5,45,130,99,38,267,171500
2025-01-11,Winter,1,0,Clear,21.2,44,185,149,66,400,269800
2025-01-12,Winter,1,0,Clear,21.5,42,192,155,70,417,281400
2025-01-13,Winter,0,0,Clear,20.8,45,114,86,30,230,147200
2025-01-14,Winter,0,1,Clear,21.0,44,170,138,59,367,247100
2025-01-15,Winter,0,1,Clear,21.4,43,162,130,55,347,233500
2025-01-16,Winter,0,0,Clear,20.9,46,111,83,29,223,142600
2025-01-17,Winter,0,0,PartlyCloudy,20.1,52,118,89,32,239,152800
2025-01-18,Winter,1,0,Clear,21.6,45,180,145,64,389,263100
2025-01-19,Winter,1,0,Clear,22.0,43,188,151,68,407,275200
2025-01-20,Winter,0,0,Clear,21.1,48,115,87,31,233,149000
2025-01-21,Winter,0,0,Clear,21.4,47,117,89,31,237,151500
2025-01-22,Winter,0,0,Rain,18.2,78,68,42,49,159,122400
2025-01-23,Winter,0,0,Rain,17.9,82,62,38,52,152,120100
2025-01-24,Winter,0,0,PartlyCloudy,19.5,60,102,76,30,208,134200
2025-01-25,Winter,1,0,Clear,21.8,48,175,140,61,376,253800
2025-01-26,Winter,1,1,Clear,22.1,45,198,162,75,435,296200
2025-01-27,Winter,0,0,Clear,21.3,47,113,85,30,228,146000
2025-01-28,Winter,0,0,Clear,21.5,46,116,88,31,235,150300
2025-01-29,Winter,0,0,Clear,21.9,44,120,91,33,244,156100
2025-01-30,Winter,0,0,Clear,22.2,43,122,93,34,249,159400
2025-01-31,Winter,0,0,Clear,22.6,42,132,102,39,273,176200
2025-02-01,Spring,1,0,Clear,23.5,41,190,154,67,411,278900
2025-02-02,Spring,1,0,Clear,24.0,40,195,158,71,424,288200
2025-02-03,Spring,0,0,Clear,22.8,43,118,89,32,239,153200
2025-02-04,Spring,0,0,Clear,23.1,42,121,92,33,246,157700
2025-02-05,Spring,0,0,Clear,23.4,41,123,94,34,251,160900
2025-02-06,Spring,0,0,Clear,23.7,40,126,97,35,258,165400
